"Time","Type","Instrument","Product","Qty.","Avg. price","Status",""
"2025-11-04 10:57:44","SELL","NIFTY25N0425700PE","NRML","150/150",43.05,"COMPLETE",""
"2025-11-04 10:47:53","BUY","NIFTY25N0425700PE","NRML","150/150",45.5,"COMPLETE",""
"2025-11-04 10:37:28","SELL","NIFTY25N0426000CE","NRML","150/150",2.75,"COMPLETE",""
"2025-11-04 10:37:24","BUY","NIFTY25N0425700CE","NRML","150/150",54,"COMPLETE",""
"2025-11-04 10:31:12","SELL","NIFTY25N0425700PE","NRML","75/75",43.15,"COMPLETE",""
"2025-11-04 10:30:45","BUY","NIFTY25N0425700PE","NRML","75/75",44.5,"COMPLETE",""
"2025-11-04 10:29:01","SELL","NIFTY25N0425700PE","NRML","150/150",43,"COMPLETE",""
"2025-11-04 10:25:54","BUY","NIFTY25N0425700PE","NRML","150/150",45,"COMPLETE",""
"2025-11-04 10:04:20","SELL","NIFTY25N0425700CE","NRML","150/150",62,"COMPLETE",""
"2025-11-04 10:04:05","BUY","NIFTY25N0426000CE","NRML","150/150",3.3,"COMPLETE",""
"2025-11-04 09:59:44","SELL","NIFTY25N0425300PE","NRML","150/150",1.3,"COMPLETE",""
"2025-11-04 09:59:39","SELL","NIFTY25N0425700PE","NRML","0/150",58,"CANCELLED",""
"2025-11-04 09:52:57","BUY","NIFTY25N0425300PE","NRML","150/150",1.35,"COMPLETE",""
"2025-11-04 09:32:14","SELL","STLTECH","MIS","300/300",120.75,"COMPLETE",""
"2025-11-04 09:24:23","BUY","STLTECH","MIS","300/300",121.2,"COMPLETE",""
